COMMUNE_CODE,PARC_2011,PARC_2022,evo_11_22
06079,27,182,574.074074074074
06082,0,2,inf
06083,15,113,653.3333333333334
06084,12,151,1158.3333333333335
06085,32,309,865.625
06088,122,1538,1160.655737704918
06089,3,38,1166.6666666666665
06090,1,37,3600.0
06091,0,7,inf
06092,0,10,inf
06093,0,1,inf
06094,0,2,inf
06095,0,54,inf
06097,0,3,inf
06099,0,5,inf
06100,0,1,inf
06103,0,7,inf
06104,9,57,533.3333333333333
06105,8,82,925.0
06106,0,1,inf
06108,0,43,inf
06109,0,3,inf
06110,0,0,
06112,2,36,1700.0
06113,0,5,inf
06114,2,16,700.0
06116,0,1,inf
06117,0,5,inf
06118,2,16,700.0
06120,0,8,inf
06121,4,23,475.0
06122,3,29,866.6666666666666
06123,12,174,1350.0
06125,1,0,-100.0
06126,2,7,250.0
06127,0,2,inf
06128,5,44,780.0
06130,3,14,366.66666666666663
06132,0,1,inf
06134,0,3,inf
06136,0,6,inf
06137,2,10,400.0
06138,0,14,inf
06140,6,28,366.66666666666663
06141,0,0,
06143,0,1,inf
06147,2,19,850.0
06148,2,31,1450.0
06149,0,31,inf
06150,4,20,400.0
06152,12,227,1791.6666666666667
06153,0,2,inf
06154,0,0,
06155,15,188,1153.3333333333333
06156,0,1,inf
06157,5,87,1639.9999999999998
06158,0,1,inf
06159,2,34,1600.0
06161,11,184,1572.7272727272727
06162,0,4,inf
06163,0,1,inf
07002,1,2,100.0
07005,0,8,inf
07006,0,0,
07007,1,0,-100.0
07008,0,9,inf
07009,0,2,inf
07010,0,38,inf
07011,0,2,inf
07013,0,2,inf
07014,0,1,inf
07015,0,2,inf
07019,1,48,4700.0
07022,0,2,inf
07023,0,1,inf
07024,0,3,inf
07027,0,0,
07028,0,1,inf
07029,0,1,inf
07031,0,1,inf
07032,0,2,inf
07033,0,3,inf
07034,0,2,inf
07035,0,3,inf
07039,0,2,inf
07041,0,9,inf
07042,0,15,inf
07044,0,0,
07045,0,2,inf
07048,0,2,inf
07050,0,3,inf
07051,0,2,inf
07055,0,10,inf
07056,0,1,inf
07058,0,5,inf
07059,0,1,inf
07061,0,2,inf
07063,0,1,inf
07064,0,7,inf
07066,0,9,inf
07067,1,0,-100.0
07069,0,1,inf
07070,0,9,inf
07071,0,2,inf
07072,0,1,inf
07074,0,0,
07076,0,5,inf
07077,0,1,inf
07078,0,26,inf
07079,0,3,inf
07080,0,1,inf
07084,0,1,inf
07085,0,1,inf
07086,0,3,inf
07087,0,1,inf
07089,0,8,inf
07090,0,1,inf
07094,0,1,inf
07095,1,0,-100.0
07096,0,2,inf
07097,0,1,inf
07099,0,4,inf
