COMMUNE_CODE,Diesel,Diesel HNR,Electrique et hydrogène,Essence,Essence HNR,Gaz et inconnu,Hybride rechargeable,part_essence,part_diesel,part_electrique,carburant_dominant
01084,353.0,1.0,6.0,206.0,5.0,3.0,3.0,35.70190641247834,61.178509532062385,1.0398613518197575,diesel
01085,161.0,3.0,1.0,95.0,10.0,1.0,2.0,34.798534798534796,58.97435897435898,0.3663003663003663,diesel
01087,109.0,0.0,2.0,77.0,1.0,5.0,1.0,39.48717948717949,55.8974358974359,1.0256410256410255,diesel
01088,422.0,1.0,9.0,279.0,8.0,2.0,1.0,38.64265927977839,58.448753462603875,1.2465373961218837,diesel
01089,939.0,6.0,19.0,603.0,33.0,6.0,5.0,37.43016759776536,58.28677839851024,1.1793916821849781,diesel
01090,131.0,0.0,2.0,92.0,3.0,2.0,2.0,39.6551724137931,56.46551724137932,0.8620689655172413,diesel
01092,663.0,4.0,9.0,405.0,17.0,5.0,6.0,36.51938683498647,59.78358881875564,0.8115419296663661,diesel
01093,1744.0,14.0,35.0,1344.0,51.0,13.0,13.0,41.8170504044804,54.26260112009956,1.088985687616677,diesel
01094,305.0,3.0,0.0,162.0,5.0,1.0,3.0,33.82045929018789,63.67432150313152,0.0,diesel
01095,306.0,2.0,3.0,200.0,9.0,6.0,0.0,38.02281368821293,58.174904942965775,0.5703422053231939,diesel
01096,444.0,0.0,10.0,237.0,7.0,4.0,0.0,33.76068376068376,63.24786324786324,1.4245014245014245,diesel
01098,468.0,3.0,3.0,330.0,16.0,2.0,4.0,39.95157384987893,56.65859564164649,0.36319612590799033,diesel
01099,596.0,2.0,15.0,421.0,20.0,5.0,6.0,39.53051643192488,55.96244131455399,1.4084507042253522,diesel
01100,58.0,0.0,0.0,55.0,3.0,0.0,1.0,47.008547008547005,49.572649572649574,0.0,diesel
01101,69.0,0.0,0.0,32.0,0.0,1.0,0.0,31.372549019607842,67.64705882352942,0.0,diesel
01102,412.0,3.0,4.0,221.0,6.0,3.0,2.0,33.94777265745007,63.287250384024574,0.6144393241167435,diesel
01103,546.0,4.0,19.0,675.0,61.0,3.0,13.0,51.097653292959876,41.33232399697199,1.4383043149129449,essence
01104,158.0,1.0,0.0,139.0,5.0,1.0,1.0,45.57377049180328,51.80327868852459,0.0,diesel
01105,674.0,5.0,29.0,538.0,27.0,6.0,13.0,41.640866873065015,52.1671826625387,2.244582043343653,diesel
01106,76.0,0.0,1.0,41.0,2.0,2.0,0.0,33.60655737704918,62.295081967213115,0.819672131147541,diesel
01107,58.0,0.0,3.0,32.0,0.0,2.0,1.0,33.33333333333333,60.416666666666664,3.125,diesel
01108,486.0,2.0,5.0,306.0,8.0,3.0,5.0,37.54601226993865,59.6319018404908,0.6134969325153374,diesel
01109,752.0,3.0,23.0,670.0,39.0,3.0,6.0,44.786096256684495,50.26737967914438,1.537433155080214,diesel
01110,72.0,0.0,0.0,34.0,2.0,0.0,1.0,31.19266055045872,66.05504587155964,0.0,diesel
01111,54.0,0.0,1.0,34.0,1.0,0.0,0.0,37.77777777777778,60.0,1.1111111111111112,diesel
01112,184.0,0.0,3.0,95.0,5.0,2.0,1.0,32.758620689655174,63.44827586206897,1.0344827586206897,diesel
01113,320.0,3.0,6.0,188.0,8.0,0.0,1.0,35.741444866920155,60.836501901140686,1.1406844106463878,diesel
01114,207.0,1.0,4.0,156.0,4.0,0.0,3.0,41.6,55.2,1.0666666666666667,diesel
01115,547.0,3.0,11.0,309.0,9.0,9.0,4.0,34.64125560538117,61.32286995515695,1.2331838565022422,diesel
01116,187.0,0.0,0.0,123.0,5.0,0.0,0.0,39.04761904761905,59.36507936507937,0.0,diesel
01117,59.0,1.0,0.0,25.0,0.0,0.0,0.0,29.411764705882355,69.41176470588235,0.0,diesel
01118,509.0,3.0,10.0,275.0,14.0,1.0,5.0,33.65973072215422,62.30110159118727,1.2239902080783354,diesel
01121,58.0,1.0,1.0,22.0,1.0,0.0,0.0,26.506024096385545,69.87951807228916,1.2048192771084338,diesel
01123,421.0,2.0,6.0,290.0,7.0,3.0,1.0,39.726027397260275,57.67123287671233,0.821917808219178,diesel
01124,332.0,2.0,7.0,135.0,8.0,4.0,1.0,27.607361963190186,67.89366053169734,1.4314928425357873,diesel
01125,216.0,3.0,4.0,149.0,12.0,2.0,2.0,38.402061855670105,55.670103092783506,1.0309278350515463,diesel
01127,196.0,2.0,2.0,133.0,7.0,1.0,1.0,38.88888888888889,57.30994152046783,0.5847953216374269,diesel
01128,137.0,0.0,0.0,85.0,1.0,0.0,1.0,37.94642857142857,61.16071428571429,0.0,diesel
01129,121.0,0.0,2.0,60.0,2.0,2.0,2.0,31.746031746031743,64.02116402116403,1.0582010582010581,diesel
01130,958.0,3.0,19.0,567.0,20.0,6.0,9.0,35.84070796460177,60.556257901390644,1.2010113780025284,diesel
01133,171.0,1.0,1.0,118.0,8.0,0.0,0.0,39.46488294314381,57.19063545150501,0.33444816053511706,diesel
01134,711.0,4.0,7.0,441.0,13.0,5.0,9.0,37.05882352941177,59.747899159663866,0.5882352941176471,diesel
01135,627.0,6.0,49.0,750.0,47.0,2.0,22.0,49.9001996007984,41.71656686626746,3.260146373918829,essence
01136,396.0,2.0,3.0,214.0,10.0,2.0,2.0,34.02225755166931,62.9570747217806,0.47694753577106513,diesel
01138,1201.0,4.0,11.0,658.0,21.0,7.0,2.0,34.55882352941176,63.07773109243697,0.5777310924369748,diesel
01139,190.0,1.0,0.0,89.0,0.0,1.0,0.0,31.672597864768683,67.61565836298932,0.0,diesel
01140,309.0,3.0,7.0,211.0,9.0,6.0,4.0,38.43351548269581,56.284153005464475,1.2750455373406193,diesel
01141,189.0,0.0,4.0,115.0,5.0,0.0,0.0,36.74121405750799,60.383386581469644,1.2779552715654952,diesel
01142,1873.0,12.0,33.0,1366.0,121.0,13.0,37.0,39.536903039073806,54.211287988422576,0.9551374819102749,diesel
01143,2512.0,25.0,172.0,3497.0,218.0,17.0,108.0,53.39746526187204,38.35700106886548,2.62635516872805,essence
01145,536.0,6.0,3.0,282.0,17.0,3.0,3.0,33.1764705882353,63.05882352941177,0.35294117647058826,diesel
01146,161.0,1.0,1.0,97.0,4.0,1.0,1.0,36.46616541353384,60.526315789473685,0.37593984962406013,diesel
01147,245.0,0.0,1.0,115.0,7.0,0.0,1.0,31.16531165311653,66.39566395663957,0.27100271002710025,diesel
01148,797.0,6.0,5.0,468.0,14.0,5.0,10.0,35.86206896551724,61.072796934865906,0.38314176245210724,diesel
01149,389.0,2.0,15.0,316.0,11.0,3.0,6.0,42.58760107816711,52.42587601078167,2.0215633423180592,diesel
01150,78.0,1.0,0.0,56.0,4.0,1.0,1.0,39.71631205673759,55.319148936170215,0.0,diesel
01151,504.0,5.0,9.0,277.0,10.0,6.0,7.0,33.863080684596575,61.61369193154034,1.1002444987775062,diesel
01152,324.0,2.0,7.0,222.0,9.0,7.0,3.0,38.67595818815331,56.44599303135889,1.2195121951219512,diesel
01153,572.0,5.0,48.0,745.0,63.0,1.0,22.0,51.167582417582416,39.285714285714285,3.296703296703297,essence
01155,58.0,1.0,0.0,45.0,2.0,0.0,0.0,42.45283018867924,54.71698113207547,0.0,diesel
01156,347.0,1.0,4.0,208.0,9.0,2.0,5.0,36.11111111111111,60.24305555555556,0.6944444444444444,diesel
01157,953.0,2.0,28.0,693.0,52.0,7.0,14.0,39.62264150943396,54.4882790165809,1.6009148084619784,diesel
01158,280.0,1.0,16.0,368.0,16.0,0.0,3.0,53.80116959064327,40.93567251461988,2.3391812865497075,essence
01159,1434.0,9.0,13.0,877.0,26.0,7.0,16.0,36.817800167926116,60.20151133501259,0.54575986565911,diesel
01160,1922.0,9.0,67.0,2718.0,183.0,7.0,55.0,54.78734126184237,38.74218907478331,1.3505341664986898,essence
01162,29.0,0.0,0.0,27.0,1.0,0.0,0.0,47.368421052631575,50.877192982456144,0.0,diesel
01163,846.0,3.0,10.0,492.0,16.0,1.0,4.0,35.8600583090379,61.66180758017493,0.7288629737609329,diesel
01165,585.0,2.0,16.0,367.0,20.0,4.0,6.0,36.7,58.5,1.6,diesel
01166,832.0,2.0,19.0,745.0,26.0,5.0,14.0,45.34388314059647,50.63907486305539,1.1564211807668898,diesel
01167,276.0,5.0,5.0,179.0,4.0,0.0,1.0,38.08510638297872,58.723404255319146,1.0638297872340425,diesel
01169,259.0,1.0,3.0,167.0,4.0,1.0,4.0,38.041002277904326,58.997722095671975,0.683371298405467,diesel
01170,466.0,4.0,5.0,257.0,15.0,2.0,4.0,34.13014608233731,61.885790172642764,0.6640106241699867,diesel
01171,341.0,2.0,8.0,235.0,6.0,3.0,6.0,39.10149750415973,56.738768718802,1.3311148086522462,diesel
01173,3739.0,35.0,92.0,3873.0,256.0,12.0,66.0,47.974730583426236,46.314876749659355,1.1396011396011396,essence
01174,72.0,1.0,1.0,31.0,2.0,1.0,0.0,28.703703703703702,66.66666666666666,0.9259259259259258,diesel
01175,350.0,0.0,3.0,190.0,4.0,2.0,4.0,34.35804701627486,63.29113924050633,0.5424954792043399,diesel
01177,77.0,0.0,0.0,40.0,1.0,1.0,1.0,33.33333333333333,64.16666666666667,0.0,diesel
01179,753.0,6.0,5.0,503.0,12.0,5.0,7.0,38.96204492641363,58.32687838884586,0.3872966692486445,diesel
01180,253.0,4.0,21.0,298.0,17.0,1.0,10.0,49.337748344370866,41.88741721854304,3.47682119205298,essence
01181,495.0,6.0,1.0,349.0,12.0,4.0,9.0,39.84018264840183,56.5068493150685,0.1141552511415525,diesel
01183,603.0,0.0,17.0,374.0,19.0,4.0,7.0,36.5234375,58.88671875,1.66015625,diesel
01184,310.0,1.0,4.0,208.0,10.0,7.0,0.0,38.51851851851852,57.407407407407405,0.7407407407407408,diesel
01185,1483.0,11.0,12.0,1044.0,33.0,5.0,7.0,40.23121387283237,57.14836223506744,0.46242774566473993,diesel
01187,311.0,1.0,2.0,141.0,3.0,1.0,1.0,30.65217391304348,67.6086956521739,0.43478260869565216,diesel
01188,247.0,0.0,3.0,166.0,4.0,2.0,2.0,39.15094339622642,58.25471698113207,0.7075471698113208,diesel
01189,467.0,2.0,8.0,287.0,18.0,2.0,2.0,36.51399491094148,59.4147582697201,1.0178117048346056,diesel
01190,41.0,2.0,1.0,25.0,1.0,0.0,0.0,35.714285714285715,58.57142857142858,1.4285714285714286,diesel
01191,67.0,0.0,1.0,35.0,1.0,1.0,1.0,33.0188679245283,63.20754716981132,0.9433962264150944,diesel
01192,862.0,3.0,10.0,559.0,22.0,8.0,8.0,37.97554347826087,58.559782608695656,0.6793478260869565,diesel
01193,102.0,0.0,2.0,61.0,2.0,1.0,0.0,36.30952380952381,60.71428571428571,1.1904761904761905,diesel
